Species	LysBr_genes	Larval_feeding_habit
Cochliomyia_hominivorax_US	7	Obligate_parasite
Cochliomyia_hominivorax_BR	8	Obligate_parasite
Chrysomya_megacephala	20	Facultative_parasite
Chrysomya_bezziana	11	Obligate_parasite
Chrysomya_rufifacies	7	Facultative_parasite
Protocalliphora_azurea	5	Obligate_parasite
Phormia_regina	11	Facultative_parasite
Protophormia_terraenovae	20	Facultative_parasite
Phyto_melanocephala	5	Obligate_parasite
Melanophora_roralis	3	Obligate_parasite
Paykullia_maculata	4	Obligate_parasite
Stomorhina_lunata	8	Obligate_parasite
Lucilia_cuprina	15	Facultative_parasite
Lucilia_sericata	17	Facultative_parasite
Bellardia_bayeri	5	Obligate_parasite
Bellardia_pandia	7	Obligate_parasite
Calliphora_vomitoria	17	Facultative_parasite
Calliphora_vicina	17	Facultative_parasite
