Species	Pseudogenes	Larval_feeding_habit
Cochliomyia_hominivorax_US	3	Obligate_parasite
Cochliomyia_hominivorax_BR	1	Obligate_parasite
Chrysomya_megacephala	2	Facultative_parasite
Chrysomya_bezziana	1	Obligate_parasite
Chrysomya_rufifacies	1	Facultative_parasite
Protocalliphora_azurea	2	Obligate_parasite
Phormia_regina	1	Facultative_parasite
Protophormia_terraenovae	1	Facultative_parasite
Phyto_melanocephala	0	Obligate_parasite
Melanophora_roralis	0	Obligate_parasite
Paykullia_maculata	0	Obligate_parasite
Stomorhina_lunata	0	Obligate_parasite
Lucilia_cuprina	5	Facultative_parasite
Lucilia_sericata	2	Facultative_parasite
Bellardia_bayeri	2	Obligate_parasite
Bellardia_pandia	0	Obligate_parasite
Calliphora_vomitoria	0	Facultative_parasite
Calliphora_vicina	2	Facultative_parasite
