species	lys_genes	taxa
Melanophora_roralis	5	Brachycera
Paykullia_maculata	6	Brachycera
Glossina_fuscipes	6	Brachycera
Phyto_melanocephala	7	Brachycera
Episyrphus_balteatus	7	Brachycera
Drosophila_melanogaster	7	Brachycera
Condylostylus_longicornis	8	Brachycera
Protocalliphora_azurea	9	Brachycera
Bellardia_pandia	9	Brachycera
Bellardia_bayeri	9	Brachycera
Eupeodes_corollae	9	Brachycera
Stomorhina_lunata	10	Brachycera
Chrysomya_rufifacies	10	Brachycera
Rhagoletis_pomonella	10	Brachycera
Bactrocera_oleae	11	Brachycera
Bactrocera_latifrons	11	Brachycera
Drosophila_arizonae	11	Brachycera
Cochliomyia_hominivorax	12	Brachycera
Rhagoletis_zephyria	12	Brachycera
Bactrocera_tryoni	12	Brachycera
Ceratitis_capitata	13	Brachycera
Chrysomya_bezziana	14	Brachycera
Phormia_regina	15	Brachycera
Anastrepha_obliqua	15	Brachycera
Anastrepha_ludens	15	Brachycera
Bactrocera_neohumeralis	15	Brachycera
Drosophila_tropicalis	15	Brachycera
Drosophila_elegans	15	Brachycera
Drosophila_sechellia	15	Brachycera
Eurosta_solidaginis	16	Brachycera
Drosophila_ananassae	16	Brachycera
Drosophila_grimshawi	16	Brachycera
Drosophila_innubila	16	Brachycera
Drosophila_ficusphila	16	Brachycera
Drosophila_mauritiana	16	Brachycera
Drosophila_busckii	16	Brachycera
Bactrocera_dorsalis	17	Brachycera
Zeugodacus_cucurbitae	17	Brachycera
Drosophila_montana	17	Brachycera
Drosophila_gunungcola	17	Brachycera
Drosophila_novamexicana	17	Brachycera
Drosophila_yakuba	17	Brachycera
Drosophila_navojoa	17	Brachycera
Drosophila_erecta	17	Brachycera
Drosophila_simulans	17	Brachycera
Drosophila_suzukii	18	Brachycera
Drosophila_serrata	18	Brachycera
Drosophila_biarmipes	18	Brachycera
Drosophila_eugracilis	18	Brachycera
Drosophila_teissieri	18	Brachycera
Drosophila_santomea	18	Brachycera
Drosophila_subobscura	18	Brachycera
Calliphora_vomitoria	19	Brachycera
Teleopsis_dalmanni	19	Brachycera
Drosophila_subpulchrella	19	Brachycera
Drosophila_willistoni	19	Brachycera
Drosophila_takahashii	19	Brachycera
Drosophila_bipectinata	19	Brachycera
Drosophila_obscura	19	Brachycera
Drosophila_mojavensis	19	Brachycera
Drosophila_guanche	19	Brachycera
Drosophila_persimilis	20	Brachycera
Drosophila_pseudoobscura	20	Brachycera
Lucilia_sericata	21	Brachycera
Drosophila_sulfurigaster	21	Brachycera
Drosophila_albomicans	21	Brachycera
Calliphora_vicina	22	Brachycera
Chrysomya_megacephala	22	Brachycera
Lucilia_cuprina	22	Brachycera
Drosophila_rhopaloa	22	Brachycera
Drosophila_nasuta	22	Brachycera
Protophormia_terraenovae	23	Brachycera
Drosophila_hydei	23	Brachycera
Drosophila_virilis	24	Brachycera
Scaptodrosophila_lebanonensis	26	Brachycera
Drosophila_miranda	28	Brachycera
Musca_vetustissima	29	Brachycera
Stomoxys_calcitrans	30	Brachycera
Drosophila_kikkawai	30	Brachycera
Musca_domestica	44	Brachycera
Hermetia_illucens	51	Brachycera
Sitodiplosis_mosellana	2	Nematocera
Phlebotomus_papatasi	3	Nematocera
Contarinia_nasturtii	3	Nematocera
Culex_quinquefasciatus	4	Nematocera
Culex_pipiens	4	Nematocera
Anopheles_aquasalis	4	Nematocera
Phlebotomus_argentipes	4	Nematocera
Ochlerotatus_camptorhynchus	5	Nematocera
Anopheles_funestus	5	Nematocera
Anopheles_darlingi	5	Nematocera
Culicoides_brevitarsis	5	Nematocera
Anopheles_moucheti	6	Nematocera
Anopheles_albimanus	6	Nematocera
Lutzomyia_longipalpis	6	Nematocera
Toxorhynchites_rutilus	7	Nematocera
Sabethes_cyaneus	7	Nematocera
Anopheles_coluzzii	7	Nematocera
Anopheles_nili	7	Nematocera
Anopheles_bellator	7	Nematocera
Aedes_albopictus	8	Nematocera
Topomyia_yanbarensis	8	Nematocera
Malaya_genurostris	8	Nematocera
Wyeomyia_smithii	8	Nematocera
Bradysia_coprophila	8	Nematocera
Anopheles_merus	8	Nematocera
Anopheles_coustani	8	Nematocera
Anopheles_stephensi	8	Nematocera
Anopheles_gambiae	9	Nematocera
Anopheles_arabiensis	9	Nematocera
Anopheles_maculipalpis	9	Nematocera
Uranotaenia_lowii	10	Nematocera
Anopheles_ziemanni	10	Nematocera
Anopheles_marshallii	10	Nematocera
Anopheles_cruzii	10	Nematocera
Aedes_aegypti	11	Nematocera
Armigeres_subalbatus	14	Nematocera
Ctenocephalides_felis	11	Other
Plutella_xylostella	4	Other
Agrilus_planipennis	3	Other
Chrysoperla_carnea	14	Other
Phymastichus_coffea	1	Other
Pediculus_humanus	1	Other
Acyrthosiphon_pisum	1	Other
Frankliniella_occidentalis	6	Other
Zootermopsis_nevadensis	9	Other
Bacillus_rossius	8	Other
Anabrus_simplex	9	Other
Cloeon_dipterum	4	Other
Ischnura_elegans	4	Other
Periplaneta_americana	11	Other
Cryptotermes_secundus	13	Other
Onthophagus_taurus	3	Other
Euwallacea_fornicatus	3	Other
Dalotia_coriaria	3	Other
Tribolium_madens	3	Other
Anthonomus_grandis	4	Other
Leptinotarsa_decemlineata	4	Other
Diorhabda_carinulata	4	Other
Euwallacea_similis	4	Other
Cylas_formicarius	5	Other
Tribolium_castaneum	5	Other
Dendroctonus_ponderosae	5	Other
Diabrotica_virgifera	6	Other
Sitophilus_oryzae	6	Other
Diorhabda_sublineata	6	Other
Tenebrio_molitor	6	Other
Anoplophora_glabripennis	7	Other
Photinus_pyralis	7	Other
Harmonia_axyridis	7	Other
Aethina_tumida	8	Other
Coccinella_septempunctata	9	Other
Zophobas_morio	12	Other
Nicrophorus_vespilloides	12	Other
Neocloeon_triangulifer	4	Other
Sipha_flava	1	Other
Diuraphis_noxia	2	Other
Rhopalosiphum_padi	2	Other
Aphis_gossypii	2	Other
Rhopalosiphum_maidis	2	Other
Daktulosphaira_vitifoliae	2	Other
Adelges_cooleyi	2	Other
Belonocnema_kinseyi	3	Other
Metopolophium_dirhodum	3	Other
Melanaphis_sacchari	3	Other
Bemisia_tabaci	4	Other
Planococcus_citri	4	Other
Myzus_persicae	4	Other
Homalodisca_vitripennis	6	Other
Halyomorpha_halys	7	Other
Diaphorina_citri	7	Other
Cimex_lectularius	10	Other
Nilaparvata_lugens	12	Other
Macrosteles_quadrilineatus	17	Other
Megalopta_genalis	2	Other
Apis_laboriosa	2	Other
Microplitis_demolitor	2	Other
Eufriesea_mexicana	2	Other
Odontomachus_brunneus	2	Other
Bombus_terrestris	2	Other
Diachasma_alloeum	2	Other
Nylanderia_fulva	2	Other
Bombus_affinis	2	Other
Harpegnathos_saltator	2	Other
Bombus_huntii	2	Other
Bombus_flavifrons	2	Other
Bombus_pascuorum	2	Other
Habropoda_laboriosa	2	Other
Venturia_canescens	2	Other
Bombus_vancouverensis	2	Other
Ceratosolen_solmsi	2	Other
Bombus_vosnesenskii	2	Other
Frieseomelitta_varia	2	Other
Megachile_rotundata	2	Other
Bombus_bifarius	2	Other
Dinoponera_quadriceps	2	Other
Bombus_pyrosoma	2	Other
Vespa_mandarinia	2	Other
Linepithema_humile	2	Other
Vespa_crabro	2	Other
Osmia_bicornis	2	Other
Polistes_dominula	2	Other
Ceratina_calcarata	2	Other
Diachasmimorpha_longicaudata	2	Other
Vespa_velutina	2	Other
Vespula_vulgaris	2	Other
Orussus_abietinus	2	Other
Vespula_pensylvanica	2	Other
Osmia_lignaria	2	Other
Fopius_arisanus	2	Other
Leptopilina_heterotoma	3	Other
Trachymyrmex_cornetzi	3	Other
Leptopilina_boulardi	3	Other
Nomia_melanderi	3	Other
Atta_cephalotes	3	Other
Prorops_nasuta	3	Other
Trachymyrmex_septentrionalis	3	Other
Atta_colombica	3	Other
Pseudomyrmex_gracilis	3	Other
Dufourea_novaeangliae	3	Other
Colletes_gigas	3	Other
Microplitis_mediator	3	Other
Trachymyrmex_zeteki	3	Other
Hylaeus_volcanicus	3	Other
Bombus_impatiens	3	Other
Pogonomyrmex_barbatus	3	Other
Apis_dorsata	3	Other
Apis_florea	3	Other
Apis_mellifera	3	Other
Apis_cerana	3	Other
Polistes_fuscatus	3	Other
Polistes_canadensis	3	Other
Cephus_cinctus	3	Other
Aphidius_gifuensis	3	Other
Solenopsis_invicta	4	Other
Temnothorax_curvispinosus	4	Other
Nasonia_vitripennis	4	Other
Cotesia_glomerata	4	Other
Camponotus_floridanus	4	Other
Formica_exsecta	4	Other
Neodiprion_pinetum	4	Other
Diprion_similis	4	Other
Neodiprion_fabricii	4	Other
Ooceraea_biroi	4	Other
Cataglyphis_hispanica	4	Other
Trichogramma_pretiosum	4	Other
Chelonus_insularis	4	Other
Copidosoma_floridanum	5	Other
Monomorium_pharaonis	5	Other
Wasmannia_auropunctata	5	Other
Acromyrmex_echinatior	5	Other
Neodiprion_lecontei	5	Other
Neodiprion_virginianus	5	Other
Athalia_rosae	5	Other
Vollenhovia_emeryi	6	Other
Hylaeus_anthracinus	6	Other
Pararge_aegeria	5	Other
Bicyclus_anynana	5	Other
Hyposmocoma_kahamanoa	6	Other
Leptidea_sinapis	6	Other
Melitaea_cinxia	6	Other
Bombyx_mori	6	Other
Vanessa_cardui	6	Other
Bombyx_mandarina	6	Other
Nymphalis_io	6	Other
Vanessa_atalanta	6	Other
Vanessa_tameamea	6	Other
Cydia_strobilella	7	Other
Ostrinia_nubilalis	7	Other
Achroia_grisella	7	Other
Ostrinia_furnacalis	7	Other
Maniola_hyperantus	7	Other
Spodoptera_frugiperda	7	Other
Trichoplusia_ni	7	Other
Helicoverpa_armigera	7	Other
Colias_croceus	7	Other
Pieris_napi	7	Other
Pieris_brassicae	7	Other
Plodia_interpunctella	7	Other
Zerene_cesonia	7	Other
Pieris_rapae	7	Other
Spodoptera_litura	8	Other
Maniola_jurtina	8	Other
Helicoverpa_zea	8	Other
Amyelois_transitella	8	Other
Papilio_xuthus	8	Other
Leguminivora_glycinivorella	9	Other
Cydia_pomonella	9	Other
Cydia_splendana	9	Other
Cydia_fagiglandana	9	Other
Cydia_amplana	9	Other
Pectinophora_gossypiella	9	Other
Galleria_mellonella	9	Other
Danaus_plexippus	9	Other
Papilio_machaon	10	Other
Aricia_agestis	11	Other
Papilio_polytes	12	Other
Battus_philenor	13	Other
Manduca_sexta	14	Other
Schistocerca_nitens	12	Other
Schistocerca_gregaria	13	Other
Schistocerca_cancellata	13	Other
Schistocerca_serialis	14	Other
Schistocerca_piceifrons	15	Other
Schistocerca_americana	17	Other
Thrips_palmi	10	Other
